iso2,pageviews_ceil,project,year,month
GB,4789000,fr.wikipedia,2022,1
CD,4373000,fr.wikipedia,2022,1
CM,4246000,fr.wikipedia,2022,1
SN,3470000,fr.wikipedia,2022,1
ES,3237000,fr.wikipedia,2022,1
NL,2907000,fr.wikipedia,2022,1
RE,2789000,fr.wikipedia,2022,1
IT,2689000,fr.wikipedia,2022,1
RU,2112000,fr.wikipedia,2022,1
LU,2058000,fr.wikipedia,2022,1
IE,1960000,fr.wikipedia,2022,1
HT,1912000,fr.wikipedia,2022,1
BJ,1590000,fr.wikipedia,2022,1
MG,1427000,fr.wikipedia,2022,1
ML,1322000,fr.wikipedia,2022,1
BF,1233000,fr.wikipedia,2022,1
MQ,1163000,fr.wikipedia,2022,1
GN,1148000,fr.wikipedia,2022,1
GA,1130000,fr.wikipedia,2022,1
GP,1129000,fr.wikipedia,2022,1
BR,961000,fr.wikipedia,2022,1
JP,906000,fr.wikipedia,2022,1
TG,896000,fr.wikipedia,2022,1
PL,865000,fr.wikipedia,2022,1
IR,855000,fr.wikipedia,2022,1
PT,850000,fr.wikipedia,2022,1
SE,782000,fr.wikipedia,2022,1
LB,680000,fr.wikipedia,2022,1
RO,668000,fr.wikipedia,2022,1
IL,655000,fr.wikipedia,2022,1
DK,640000,fr.wikipedia,2022,1
TR,611000,fr.wikipedia,2022,1
NC,611000,fr.wikipedia,2022,1
--,586000,fr.wikipedia,2022,1
MX,570000,fr.wikipedia,2022,1
CG,552000,fr.wikipedia,2022,1
NE,490000,fr.wikipedia,2022,1
PF,479000,fr.wikipedia,2022,1
IN,466000,fr.wikipedia,2022,1
AT,452000,fr.wikipedia,2022,1
GF,443000,fr.wikipedia,2022,1
CZ,408000,fr.wikipedia,2022,1
MU,387000,fr.wikipedia,2022,1
GR,381000,fr.wikipedia,2022,1
AE,377000,fr.wikipedia,2022,1
TH,367000,fr.wikipedia,2022,1
ID,355000,fr.wikipedia,2022,1
SG,354000,fr.wikipedia,2022,1
AU,348000,fr.wikipedia,2022,1
HK,340000,fr.wikipedia,2022,1
UA,324000,fr.wikipedia,2022,1
TW,305000,fr.wikipedia,2022,1
TD,286000,fr.wikipedia,2022,1
MR,281000,fr.wikipedia,2022,1
EG,281000,fr.wikipedia,2022,1
FI,280000,fr.wikipedia,2022,1
VN,278000,fr.wikipedia,2022,1
NO,264000,fr.wikipedia,2022,1
HU,262000,fr.wikipedia,2022,1
BI,258000,fr.wikipedia,2022,1
KR,245000,fr.wikipedia,2022,1
YT,223000,fr.wikipedia,2022,1
CO,214000,fr.wikipedia,2022,1
MC,212000,fr.wikipedia,2022,1
AR,212000,fr.wikipedia,2022,1
ZA,197000,fr.wikipedia,2022,1
DJ,182000,fr.wikipedia,2022,1
DO,177000,fr.wikipedia,2022,1
BG,176000,fr.wikipedia,2022,1
NG,170000,fr.wikipedia,2022,1
CL,161000,fr.wikipedia,2022,1
RW,152000,fr.wikipedia,2022,1
MY,150000,fr.wikipedia,2022,1
RS,149000,fr.wikipedia,2022,1
SK,143000,fr.wikipedia,2022,1
PH,138000,fr.wikipedia,2022,1
SA,136000,fr.wikipedia,2022,1
EE,123000,fr.wikipedia,2022,1
PE,107000,fr.wikipedia,2022,1
LT,105000,fr.wikipedia,2022,1
MD,98000,fr.wikipedia,2022,1
KM,95000,fr.wikipedia,2022,1
QA,92000,fr.wikipedia,2022,1
HR,91000,fr.wikipedia,2022,1
KH,84000,fr.wikipedia,2022,1
GH,78000,fr.wikipedia,2022,1
EC,76000,fr.wikipedia,2022,1
CF,74000,fr.wikipedia,2022,1
AO,73000,fr.wikipedia,2022,1
KE,71000,fr.wikipedia,2022,1
CR,70000,fr.wikipedia,2022,1
BD,68000,fr.wikipedia,2022,1
PK,67000,fr.wikipedia,2022,1
AD,67000,fr.wikipedia,2022,1
BY,64000,fr.wikipedia,2022,1
TZ,62000,fr.wikipedia,2022,1
CY,60000,fr.wikipedia,2022,1
GE,59000,fr.wikipedia,2022,1
SI,57000,fr.wikipedia,2022,1
NZ,57000,fr.wikipedia,2022,1
AL,56000,fr.wikipedia,2022,1
LV,55000,fr.wikipedia,2022,1
MT,51000,fr.wikipedia,2022,1
BL,49000,fr.wikipedia,2022,1
JO,45000,fr.wikipedia,2022,1
LY,45000,fr.wikipedia,2022,1
IQ,43000,fr.wikipedia,2022,1
UY,40000,fr.wikipedia,2022,1
AM,40000,fr.wikipedia,2022,1
PM,38000,fr.wikipedia,2022,1
IS,38000,fr.wikipedia,2022,1
VE,36000,fr.wikipedia,2022,1
UG,36000,fr.wikipedia,2022,1
MF,36000,fr.wikipedia,2022,1
BA,32000,fr.wikipedia,2022,1
LK,31000,fr.wikipedia,2022,1
ET,31000,fr.wikipedia,2022,1
AZ,29000,fr.wikipedia,2022,1
PA,29000,fr.wikipedia,2022,1
MK,27000,fr.wikipedia,2022,1
KW,27000,fr.wikipedia,2022,1
KZ,26000,fr.wikipedia,2022,1
GT,25000,fr.wikipedia,2022,1
CV,24000,fr.wikipedia,2022,1
UZ,24000,fr.wikipedia,2022,1
OM,23000,fr.wikipedia,2022,1
CU,22000,fr.wikipedia,2022,1
BO,21000,fr.wikipedia,2022,1
LA,20000,fr.wikipedia,2022,1
PY,19000,fr.wikipedia,2022,1
SC,18000,fr.wikipedia,2022,1
CN,17000,fr.wikipedia,2022,1
BH,17000,fr.wikipedia,2022,1
SY,17000,fr.wikipedia,2022,1
MV,17000,fr.wikipedia,2022,1
ZM,17000,fr.wikipedia,2022,1
NP,17000,fr.wikipedia,2022,1
SV,16000,fr.wikipedia,2022,1
GQ,16000,fr.wikipedia,2022,1
MZ,16000,fr.wikipedia,2022,1
LR,14000,fr.wikipedia,2022,1
NI,14000,fr.wikipedia,2022,1
GM,13000,fr.wikipedia,2022,1
HN,13000,fr.wikipedia,2022,1
XK,12000,fr.wikipedia,2022,1
SD,12000,fr.wikipedia,2022,1
MO,12000,fr.wikipedia,2022,1
ME,11000,fr.wikipedia,2022,1
BS,9000,fr.wikipedia,2022,1
PR,8000,fr.wikipedia,2022,1
GW,8000,fr.wikipedia,2022,1
SO,8000,fr.wikipedia,2022,1
MM,8000,fr.wikipedia,2022,1
SL,8000,fr.wikipedia,2022,1
WF,7000,fr.wikipedia,2022,1
NA,7000,fr.wikipedia,2022,1
KG,7000,fr.wikipedia,2022,1
SX,7000,fr.wikipedia,2022,1
PS,6000,fr.wikipedia,2022,1
LI,6000,fr.wikipedia,2022,1
JM,6000,fr.wikipedia,2022,1
TT,6000,fr.wikipedia,2022,1
VU,6000,fr.wikipedia,2022,1
MN,6000,fr.wikipedia,2022,1
ZW,6000,fr.wikipedia,2022,1
SR,5000,fr.wikipedia,2022,1
BW,5000,fr.wikipedia,2022,1
JE,5000,fr.wikipedia,2022,1
IM,5000,fr.wikipedia,2022,1
BN,4000,fr.wikipedia,2022,1
TC,4000,fr.wikipedia,2022,1
YE,4000,fr.wikipedia,2022,1
MW,4000,fr.wikipedia,2022,1
LC,3000,fr.wikipedia,2022,1
AF,3000,fr.wikipedia,2022,1
BB,3000,fr.wikipedia,2022,1
CW,3000,fr.wikipedia,2022,1
VA,3000,fr.wikipedia,2022,1
SS,3000,fr.wikipedia,2022,1
GL,3000,fr.wikipedia,2022,1
BZ,3000,fr.wikipedia,2022,1
AW,3000,fr.wikipedia,2022,1
GI,3000,fr.wikipedia,2022,1
GG,2000,fr.wikipedia,2022,1
FJ,2000,fr.wikipedia,2022,1
TM,2000,fr.wikipedia,2022,1
TJ,2000,fr.wikipedia,2022,1
AG,2000,fr.wikipedia,2022,1
DM,2000,fr.wikipedia,2022,1
SZ,2000,fr.wikipedia,2022,1
KY,2000,fr.wikipedia,2022,1
SM,2000,fr.wikipedia,2022,1
ST,2000,fr.wikipedia,2022,1
LS,2000,fr.wikipedia,2022,1
GY,2000,fr.wikipedia,2022,1
GD,2000,fr.wikipedia,2022,1
BM,1000,fr.wikipedia,2022,1
PG,1000,fr.wikipedia,2022,1
ER,1000,fr.wikipedia,2022,1
FO,1000,fr.wikipedia,2022,1
VC,1000,fr.wikipedia,2022,1
TL,1000,fr.wikipedia,2022,1
GU,1000,fr.wikipedia,2022,1
AI,1000,fr.wikipedia,2022,1
AX,1000,fr.wikipedia,2022,1
VG,1000,fr.wikipedia,2022,1
BT,1000,fr.wikipedia,2022,1
VI,1000,fr.wikipedia,2022,1
MP,1000,fr.wikipedia,2022,1
BQ,1000,fr.wikipedia,2022,1
KN,1000,fr.wikipedia,2022,1
EH,1000,fr.wikipedia,2022,1
WS,1000,fr.wikipedia,2022,1
DE,801083000,de.wikipedia,2022,1
AT,86735000,de.wikipedia,2022,1
CH,53881000,de.wikipedia,2022,1
US,11388000,de.wikipedia,2022,1
IT,4085000,de.wikipedia,2022,1
NL,3727000,de.wikipedia,2022,1
FR,3530000,de.wikipedia,2022,1
GB,3327000,de.wikipedia,2022,1
RU,3023000,de.wikipedia,2022,1
ES,2609000,de.wikipedia,2022,1
LU,2301000,de.wikipedia,2022,1
PL,1827000,de.wikipedia,2022,1
BE,1763000,de.wikipedia,2022,1
CZ,1244000,de.wikipedia,2022,1
SE,1212000,de.wikipedia,2022,1
DK,1137000,de.wikipedia,2022,1
--,1099000,de.wikipedia,2022,1
TR,979000,de.wikipedia,2022,1
HU,969000,de.wikipedia,2022,1
CA,940000,de.wikipedia,2022,1
JP,751000,de.wikipedia,2022,1
BR,742000,de.wikipedia,2022,1
NO,654000,de.wikipedia,2022,1
FI,633000,de.wikipedia,2022,1
TH,561000,de.wikipedia,2022,1
RO,554000,de.wikipedia,2022,1
IR,551000,de.wikipedia,2022,1
IE,549000,de.wikipedia,2022,1
PT,516000,de.wikipedia,2022,1
GR,493000,de.wikipedia,2022,1
MX,468000,de.wikipedia,2022,1
IN,435000,de.wikipedia,2022,1
UA,429000,de.wikipedia,2022,1
ID,367000,de.wikipedia,2022,1
SK,366000,de.wikipedia,2022,1
HR,361000,de.wikipedia,2022,1
BG,353000,de.wikipedia,2022,1
AU,339000,de.wikipedia,2022,1
TW,312000,de.wikipedia,2022,1
LI,312000,de.wikipedia,2022,1
RS,309000,de.wikipedia,2022,1
SG,298000,de.wikipedia,2022,1
HK,287000,de.wikipedia,2022,1
SI,256000,de.wikipedia,2022,1
IL,249000,de.wikipedia,2022,1
EG,239000,de.wikipedia,2022,1
BA,230000,de.wikipedia,2022,1
KR,226000,de.wikipedia,2022,1
AE,223000,de.wikipedia,2022,1
MD,217000,de.wikipedia,2022,1
ZA,196000,de.wikipedia,2022,1
AR,183000,de.wikipedia,2022,1
CO,155000,de.wikipedia,2022,1
PH,149000,de.wikipedia,2022,1
EE,141000,de.wikipedia,2022,1
VN,140000,de.wikipedia,2022,1
LT,139000,de.wikipedia,2022,1
MY,139000,de.wikipedia,2022,1
CL,124000,de.wikipedia,2022,1
AL,119000,de.wikipedia,2022,1
LV,114000,de.wikipedia,2022,1
GE,94000,de.wikipedia,2022,1
PE,91000,de.wikipedia,2022,1
CR,86000,de.wikipedia,2022,1
DO,85000,de.wikipedia,2022,1
BY,82000,de.wikipedia,2022,1
MK,80000,de.wikipedia,2022,1
EC,74000,de.wikipedia,2022,1
NZ,70000,de.wikipedia,2022,1
LK,68000,de.wikipedia,2022,1
IS,67000,de.wikipedia,2022,1
MA,67000,de.wikipedia,2022,1
CY,66000,de.wikipedia,2022,1
BD,65000,de.wikipedia,2022,1
KE,64000,de.wikipedia,2022,1
XK,62000,de.wikipedia,2022,1
PY,62000,de.wikipedia,2022,1
TN,60000,de.wikipedia,2022,1
MT,59000,de.wikipedia,2022,1
MV,54000,de.wikipedia,2022,1
SA,50000,de.wikipedia,2022,1
PK,50000,de.wikipedia,2022,1
AZ,49000,de.wikipedia,2022,1
DZ,47000,de.wikipedia,2022,1
TZ,44000,de.wikipedia,2022,1
NG,41000,de.wikipedia,2022,1
NA,41000,de.wikipedia,2022,1
IQ,40000,de.wikipedia,2022,1
MU,38000,de.wikipedia,2022,1
JO,35000,de.wikipedia,2022,1
KZ,35000,de.wikipedia,2022,1
AM,34000,de.wikipedia,2022,1
PA,33000,de.wikipedia,2022,1
UY,31000,de.wikipedia,2022,1
BO,30000,de.wikipedia,2022,1
UZ,30000,de.wikipedia,2022,1
GT,28000,de.wikipedia,2022,1
KH,27000,de.wikipedia,2022,1
CV,26000,de.wikipedia,2022,1
LB,25000,de.wikipedia,2022,1
OM,25000,de.wikipedia,2022,1
VE,25000,de.wikipedia,2022,1
ME,24000,de.wikipedia,2022,1
GH,23000,de.wikipedia,2022,1
SC,21000,de.wikipedia,2022,1
NP,20000,de.wikipedia,2022,1
CM,18000,de.wikipedia,2022,1
QA,18000,de.wikipedia,2022,1
CN,17000,de.wikipedia,2022,1
CU,17000,de.wikipedia,2022,1
UG,16000,de.wikipedia,2022,1
MN,15000,de.wikipedia,2022,1
SN,15000,de.wikipedia,2022,1
NI,14000,de.wikipedia,2022,1
CI,14000,de.wikipedia,2022,1
KG,12000,de.wikipedia,2022,1
SV,12000,de.wikipedia,2022,1
ET,10000,de.wikipedia,2022,1
CW,10000,de.wikipedia,2022,1
MO,10000,de.wikipedia,2022,1
HN,10000,de.wikipedia,2022,1
RE,10000,de.wikipedia,2022,1
TG,9000,de.wikipedia,2022,1
KW,9000,de.wikipedia,2022,1
MC,9000,de.wikipedia,2022,1
JM,9000,de.wikipedia,2022,1
SY,8000,de.wikipedia,2022,1
PR,8000,de.wikipedia,2022,1
GP,8000,de.wikipedia,2022,1
PS,8000,de.wikipedia,2022,1
ML,8000,de.wikipedia,2022,1
BH,8000,de.wikipedia,2022,1
LA,8000,de.wikipedia,2022,1
RW,8000,de.wikipedia,2022,1
MG,7000,de.wikipedia,2022,1
MQ,7000,de.wikipedia,2022,1
BJ,7000,de.wikipedia,2022,1
ZM,6000,de.wikipedia,2022,1
MM,6000,de.wikipedia,2022,1
LY,6000,de.wikipedia,2022,1
BS,6000,de.wikipedia,2022,1
CD,6000,de.wikipedia,2022,1
GM,6000,de.wikipedia,2022,1
AD,6000,de.wikipedia,2022,1
BB,5000,de.wikipedia,2022,1
VA,5000,de.wikipedia,2022,1
IM,5000,de.wikipedia,2022,1
SD,5000,de.wikipedia,2022,1
MZ,5000,de.wikipedia,2022,1
TJ,5000,de.wikipedia,2022,1
BN,4000,de.wikipedia,2022,1
AO,4000,de.wikipedia,2022,1
TT,4000,de.wikipedia,2022,1
AX,4000,de.wikipedia,2022,1
GL,4000,de.wikipedia,2022,1
NE,4000,de.wikipedia,2022,1
PF,4000,de.wikipedia,2022,1
LC,4000,de.wikipedia,2022,1
BF,4000,de.wikipedia,2022,1
BW,4000,de.wikipedia,2022,1
SO,4000,de.wikipedia,2022,1
AF,4000,de.wikipedia,2022,1
GN,4000,de.wikipedia,2022,1
JE,4000,de.wikipedia,2022,1
MW,4000,de.wikipedia,2022,1
FO,3000,de.wikipedia,2022,1
ZW,3000,de.wikipedia,2022,1
YE,3000,de.wikipedia,2022,1
SL,3000,de.wikipedia,2022,1
BQ,3000,de.wikipedia,2022,1
AW,3000,de.wikipedia,2022,1
BZ,3000,de.wikipedia,2022,1
GA,3000,de.wikipedia,2022,1
TM,3000,de.wikipedia,2022,1
PG,3000,de.wikipedia,2022,1
MR,3000,de.wikipedia,2022,1
TL,3000,de.wikipedia,2022,1
HT,2000,de.wikipedia,2022,1
GG,2000,de.wikipedia,2022,1
GI,2000,de.wikipedia,2022,1
SR,2000,de.wikipedia,2022,1
AG,2000,de.wikipedia,2022,1
FJ,2000,de.wikipedia,2022,1
KY,2000,de.wikipedia,2022,1
GD,2000,de.wikipedia,2022,1
BM,2000,de.wikipedia,2022,1
SX,2000,de.wikipedia,2022,1
MF,2000,de.wikipedia,2022,1
SM,2000,de.wikipedia,2022,1
BI,2000,de.wikipedia,2022,1
LR,2000,de.wikipedia,2022,1
SS,2000,de.wikipedia,2022,1
DM,1000,de.wikipedia,2022,1
TD,1000,de.wikipedia,2022,1
AI,1000,de.wikipedia,2022,1
GY,1000,de.wikipedia,2022,1
DJ,1000,de.wikipedia,2022,1
GF,1000,de.wikipedia,2022,1
GU,1000,de.wikipedia,2022,1
CG,1000,de.wikipedia,2022,1
NC,1000,de.wikipedia,2022,1
ER,1000,de.wikipedia,2022,1
BT,1000,de.wikipedia,2022,1
SZ,1000,de.wikipedia,2022,1
BL,1000,de.wikipedia,2022,1
VC,1000,de.wikipedia,2022,1
GW,1000,de.wikipedia,2022,1
LS,1000,de.wikipedia,2022,1
TC,1000,de.wikipedia,2022,1
ST,1000,de.wikipedia,2022,1
VI,1000,de.wikipedia,2022,1
YT,1000,de.wikipedia,2022,1
VG,1000,de.wikipedia,2022,1
VU,1000,de.wikipedia,2022,1
MP,1000,de.wikipedia,2022,1
CF,1000,de.wikipedia,2022,1
GQ,1000,de.wikipedia,2022,1
KN,1000,de.wikipedia,2022,1
PW,1000,de.wikipedia,2022,1
WS,1000,de.wikipedia,2022,1
KM,1000,de.wikipedia,2022,1
TO,1000,de.wikipedia,2022,1
FK,1000,de.wikipedia,2022,1
US,2890038000,en.wikipedia,2022,1
GB,895223000,en.wikipedia,2022,1
IN,766527000,en.wikipedia,2022,1
CA,355014000,en.wikipedia,2022,1
AU,258626000,en.wikipedia,2022,1
DE,162651000,en.wikipedia,2022,1
PH,138567000,en.wikipedia,2022,1
NL,79479000,en.wikipedia,2022,1
ID,75482000,en.wikipedia,2022,1
FR,70051000,en.wikipedia,2022,1
IT,66606000,en.wikipedia,2022,1
IE,65235000,en.wikipedia,2022,1
MY,64606000,en.wikipedia,2022,1
SE,64065000,en.wikipedia,2022,1
ZA,64023000,en.wikipedia,2022,1
PK,59492000,en.wikipedia,2022,1
RU,58370000,en.wikipedia,2022,1
SG,57256000,en.wikipedia,2022,1
PL,55422000,en.wikipedia,2022,1
BR,55299000,en.wikipedia,2022,1
ES,49110000,en.wikipedia,2022,1
NG,39568000,en.wikipedia,2022,1
IR,38022000,en.wikipedia,2022,1
JP,37993000,en.wikipedia,2022,1
FI,37545000,en.wikipedia,2022,1
RO,36370000,en.wikipedia,2022,1
MX,36303000,en.wikipedia,2022,1
NZ,35769000,en.wikipedia,2022,1
TR,35662000,en.wikipedia,2022,1
BD,34793000,en.wikipedia,2022,1
GR,34715000,en.wikipedia,2022,1
DK,31739000,en.wikipedia,2022,1
BE,31697000,en.wikipedia,2022,1
NO,31588000,en.wikipedia,2022,1
TH,29862000,en.wikipedia,2022,1
HK,29579000,en.wikipedia,2022,1
AE,28614000,en.wikipedia,2022,1
CH,27179000,en.wikipedia,2022,1
IL,26917000,en.wikipedia,2022,1
CZ,24322000,en.wikipedia,2022,1
HU,23809000,en.wikipedia,2022,1
RS,23041000,en.wikipedia,2022,1
PT,21701000,en.wikipedia,2022,1
KR,21441000,en.wikipedia,2022,1
VN,20768000,en.wikipedia,2022,1
AT,20552000,en.wikipedia,2022,1
HR,19188000,en.wikipedia,2022,1
BG,18527000,en.wikipedia,2022,1
SA,17271000,en.wikipedia,2022,1
EG,16687000,en.wikipedia,2022,1
UA,16573000,en.wikipedia,2022,1
TW,15330000,en.wikipedia,2022,1
LK,14874000,en.wikipedia,2022,1
AR,14571000,en.wikipedia,2022,1
KE,13916000,en.wikipedia,2022,1
NP,11982000,en.wikipedia,2022,1
SK,11132000,en.wikipedia,2022,1
SI,10901000,en.wikipedia,2022,1
LT,9563000,en.wikipedia,2022,1
