date,n_articles
2022-05-17,1
2022-05-18,20
2022-05-19,37
2022-05-20,54
2022-05-21,18
2022-05-22,28
2022-05-23,56
2022-05-24,38
2022-05-25,22
2022-05-26,30
2022-05-27,23
2022-05-28,8
2022-05-29,5
2022-05-30,22
2022-05-31,11
2022-06-01,12
2022-06-02,10
2022-06-03,27
2022-06-04,8
2022-06-05,4
2022-06-06,10
2022-06-07,18
2022-06-08,16
2022-06-09,14
2022-06-10,25
2022-06-11,7
2022-06-12,4
2022-06-13,13
2022-06-14,20
2022-06-15,25
2022-06-16,10
2022-06-17,7
2022-06-18,2
2022-06-19,0
2022-06-20,3
2022-06-21,14
2022-06-22,9
2022-06-23,31
2022-06-24,17
2022-06-25,10
2022-06-26,4
2022-06-27,7
2022-06-28,18
2022-06-29,15
2022-06-30,13
2022-07-01,18
2022-07-02,5
2022-07-03,9
2022-07-04,0
2022-07-05,5
2022-07-06,16
2022-07-07,26
2022-07-08,19
2022-07-09,4
2022-07-10,5
2022-07-11,8
2022-07-12,13
2022-07-13,9
2022-07-14,29
2022-07-15,17
2022-07-16,5
2022-07-17,7
2022-07-18,16
2022-07-19,11
2022-07-20,13
2022-07-21,27
2022-07-22,44
2022-07-23,50
2022-07-24,3
2022-07-25,24
2022-07-26,24
2022-07-27,44
2022-07-28,48
2022-07-29,50
2022-07-30,30
2022-07-31,11
2022-08-01,26
2022-08-02,64
2022-08-03,32
2022-08-04,78
2022-08-05,43
2022-08-06,13
2022-08-07,8
2022-08-08,22
2022-08-09,55
2022-08-10,42
2022-08-11,37
2022-08-12,24
2022-08-13,9
2022-08-14,7
2022-08-15,31
2022-08-16,23
2022-08-17,36
2022-08-18,43
2022-08-19,19
2022-08-20,5
2022-08-21,11
2022-08-22,17
2022-08-23,29
2022-08-24,18
2022-08-25,28
2022-08-26,39
2022-08-27,4
2022-08-28,4
2022-08-29,13
2022-08-30,25
2022-08-31,10
2022-09-01,12
2022-09-02,12
2022-09-03,2
2022-09-04,2
2022-09-05,5
2022-09-06,8
2022-09-07,7
2022-09-08,14
2022-09-09,12
2022-09-10,2
2022-09-11,0
2022-09-12,5
2022-09-13,13
2022-09-14,10
2022-09-15,14
2022-09-16,5
2022-09-17,1
2022-09-18,2
2022-09-19,7
2022-09-20,9
2022-09-21,1
2022-09-22,6
2022-09-23,3
2022-09-24,0
2022-09-25,1
2022-09-26,4
2022-09-27,2
2022-09-28,10
2022-09-29,7
2022-09-30,7
2022-10-01,1
2022-10-02,0
2022-10-03,2
2022-10-04,3
2022-10-05,3
2022-10-06,4
2022-10-07,2
2022-10-08,0
2022-10-09,0
2022-10-10,0
2022-10-11,1
2022-10-12,0
2022-10-13,3
2022-10-14,0
2022-10-15,0
2022-10-16,0
2022-10-17,1
2022-10-18,0
2022-10-19,1
2022-10-20,3
2022-10-21,6
2022-10-22,1
2022-10-23,3
2022-10-24,1
2022-10-25,0
2022-10-26,2
2022-10-27,1
2022-10-28,0
2022-10-29,1
2022-10-30,0
2022-10-31,3
2022-11-01,0
2022-11-02,2
2022-11-03,1
2022-11-04,0
2022-11-05,0
2022-11-06,0
2022-11-07,0
2022-11-08,1
2022-11-09,2
2022-11-10,1
2022-11-11,0
2022-11-12,0
2022-11-13,0
2022-11-14,0
2022-11-15,0
2022-11-16,0
2022-11-17,2
2022-11-18,2
2022-11-19,0
2022-11-20,0
2022-11-21,0
2022-11-22,0
2022-11-23,2
2022-11-24,0
2022-11-25,0
2022-11-26,0
2022-11-27,0
2022-11-28,23
2022-11-29,1
2022-12-01,4
2022-12-02,11
2022-12-03,1
2022-12-08,1
2022-12-09,1
2022-12-21,1
2022-12-22,1
2022-12-27,1
2022-12-30,1
2023-01-05,1
2023-01-10,3
2023-01-11,2
2023-01-16,1
2023-01-31,1
2023-02-01,1
2023-02-08,1
2023-02-16,2
2023-02-21,1
2023-02-22,4
2023-03-31,1
2023-04-13,1
2023-04-16,1
2023-04-20,1
2023-04-27,1
2023-05-11,10
2023-05-12,1
2023-05-15,4
2023-05-18,5
2023-05-19,1
2023-05-25,2
2023-05-26,1
2023-05-29,1
2023-05-30,1
2023-10-26,1
2023-11-03,2
2023-11-24,4
2023-12-07,1
2023-12-08,1
2023-12-28,1
2024-01-24,1
2024-02-12,1
2024-02-14,1
