country,iso2,project,page_id,page_title,pageviews,date
United Kingdom,GB,en.wikipedia,242702,Monkeypox,3885,2022-05-15
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,5694,2022-05-16
United Kingdom,GB,en.wikipedia,242702,Monkeypox,9291,2022-05-16
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,7020,2022-05-17
United Kingdom,GB,en.wikipedia,242702,Monkeypox,13542,2022-05-17
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,9292,2022-05-18
United Kingdom,GB,en.wikipedia,61088,Smallpox vaccine,643,2022-05-18
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,13578,2022-05-19
United Kingdom,GB,en.wikipedia,39686360,2003 Midwest monkeypox outbreak,666,2022-05-19
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,20211,2022-05-20
United Kingdom,GB,en.wikipedia,39686360,2003 Midwest monkeypox outbreak,1063,2022-05-20
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,15956,2022-05-21
United Kingdom,GB,en.wikipedia,39686360,2003 Midwest monkeypox outbreak,625,2022-05-21
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,20400,2022-05-22
United Kingdom,GB,en.wikipedia,53951,Diarrhea,628,2022-05-22
United Kingdom,GB,en.wikipedia,39686360,2003 Midwest monkeypox outbreak,755,2022-05-22
United Kingdom,GB,en.wikipedia,1548205,Poxviridae,493,2022-05-23
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,18745,2022-05-23
United Kingdom,GB,en.wikipedia,53951,Diarrhea,581,2022-05-23
United Kingdom,GB,en.wikipedia,39686360,2003 Midwest monkeypox outbreak,969,2022-05-23
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,13006,2022-05-24
United Kingdom,GB,en.wikipedia,39686360,2003 Midwest monkeypox outbreak,570,2022-05-24
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,7420,2022-05-25
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,5892,2022-05-26
United Kingdom,GB,en.wikipedia,53951,Diarrhea,553,2022-05-26
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,3447,2022-05-27
United Kingdom,GB,en.wikipedia,53951,Diarrhea,464,2022-05-27
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,2947,2022-05-28
United Kingdom,GB,en.wikipedia,242702,Monkeypox,7807,2022-05-28
United Kingdom,GB,en.wikipedia,61088,Smallpox vaccine,711,2022-05-28
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,1686,2022-05-29
United Kingdom,GB,en.wikipedia,242702,Monkeypox,5779,2022-05-29
United Kingdom,GB,en.wikipedia,61088,Smallpox vaccine,479,2022-05-29
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,2325,2022-05-30
United Kingdom,GB,en.wikipedia,242702,Monkeypox,6648,2022-05-30
United Kingdom,GB,en.wikipedia,61088,Smallpox vaccine,550,2022-05-30
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,2013,2022-05-31
United Kingdom,GB,en.wikipedia,242702,Monkeypox,6158,2022-05-31
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,1140,2022-06-01
United Kingdom,GB,en.wikipedia,242702,Monkeypox,4383,2022-06-01
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,507,2022-06-02
United Kingdom,GB,en.wikipedia,242702,Monkeypox,3368,2022-06-02
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,479,2022-06-03
United Kingdom,GB,en.wikipedia,242702,Monkeypox,2662,2022-06-03
United Kingdom,GB,en.wikipedia,242702,Monkeypox,2408,2022-06-04
United Kingdom,GB,en.wikipedia,242702,Monkeypox,2209,2022-06-05
United Kingdom,GB,en.wikipedia,242702,Monkeypox,3122,2022-06-06
United Kingdom,GB,en.wikipedia,53951,Diarrhea,450,2022-06-06
United Kingdom,GB,en.wikipedia,242702,Monkeypox,2040,2022-06-14
United Kingdom,GB,en.wikipedia,452461,Myocarditis,927,2022-06-15
United Kingdom,GB,en.wikipedia,242702,Monkeypox,2036,2022-06-15
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1677,2022-06-16
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,451,2022-06-17
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1339,2022-06-17
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1320,2022-06-18
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1428,2022-06-19
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1151,2022-06-20
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1751,2022-06-21
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1458,2022-06-22
United Kingdom,GB,en.wikipedia,53951,Diarrhea,507,2022-06-22
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1267,2022-06-25
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1091,2022-06-26
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1138,2022-06-27
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1508,2022-06-28
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1490,2022-06-29
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1829,2022-06-30
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1832,2022-07-01
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1519,2022-07-02
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1324,2022-07-03
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1295,2022-07-04
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1065,2022-07-05
United Kingdom,GB,en.wikipedia,242702,Monkeypox,983,2022-07-06
United Kingdom,GB,en.wikipedia,242702,Monkeypox,848,2022-07-07
United Kingdom,GB,en.wikipedia,242702,Monkeypox,770,2022-07-08
United Kingdom,GB,en.wikipedia,242702,Monkeypox,689,2022-07-09
United Kingdom,GB,en.wikipedia,242702,Monkeypox,658,2022-07-10
United Kingdom,GB,en.wikipedia,242702,Monkeypox,676,2022-07-11
United Kingdom,GB,en.wikipedia,242702,Monkeypox,907,2022-07-14
United Kingdom,GB,en.wikipedia,242702,Monkeypox,923,2022-07-15
United Kingdom,GB,en.wikipedia,242702,Monkeypox,958,2022-07-16
United Kingdom,GB,en.wikipedia,242702,Monkeypox,746,2022-07-17
United Kingdom,GB,en.wikipedia,242702,Monkeypox,886,2022-07-18
United Kingdom,GB,en.wikipedia,242702,Monkeypox,827,2022-07-19
United Kingdom,GB,en.wikipedia,452461,Myocarditis,530,2022-07-20
United Kingdom,GB,en.wikipedia,242702,Monkeypox,912,2022-07-21
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1139,2022-07-22
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,910,2022-07-23
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1638,2022-07-27
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1084,2022-07-28
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1433,2022-07-29
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1732,2022-07-30
United Kingdom,GB,en.wikipedia,242702,Monkeypox,2294,2022-07-31
United Kingdom,GB,en.wikipedia,242702,Monkeypox,2020,2022-08-01
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1946,2022-08-06
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1584,2022-08-07
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1463,2022-08-08
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1374,2022-08-09
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1546,2022-08-10
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1270,2022-08-11
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1322,2022-08-12
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1035,2022-08-13
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1084,2022-08-14
United Kingdom,GB,en.wikipedia,53951,Diarrhea,493,2022-08-14
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1284,2022-08-15
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1412,2022-08-16
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1271,2022-08-17
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,609,2022-08-17
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1301,2022-08-18
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1118,2022-08-19
United Kingdom,GB,en.wikipedia,242702,Monkeypox,885,2022-08-20
United Kingdom,GB,en.wikipedia,242702,Monkeypox,974,2022-08-21
United Kingdom,GB,en.wikipedia,242702,Monkeypox,914,2022-08-22
United Kingdom,GB,en.wikipedia,242702,Monkeypox,826,2022-08-23
United Kingdom,GB,en.wikipedia,242702,Monkeypox,731,2022-08-24
United Kingdom,GB,en.wikipedia,242702,Monkeypox,707,2022-08-25
United Kingdom,GB,en.wikipedia,242702,Monkeypox,596,2022-08-26
United Kingdom,GB,en.wikipedia,242702,Monkeypox,777,2022-08-27
United Kingdom,GB,en.wikipedia,242702,Monkeypox,516,2022-08-28
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,527,2022-08-28
United Kingdom,GB,en.wikipedia,242702,Monkeypox,672,2022-08-29
United Kingdom,GB,en.wikipedia,46253,Fever,2139,2022-08-30
United Kingdom,GB,en.wikipedia,242702,Monkeypox,479,2022-08-30
United Kingdom,GB,en.wikipedia,46253,Fever,1663,2022-08-31
United Kingdom,GB,en.wikipedia,242702,Monkeypox,535,2022-09-02
United Kingdom,GB,en.wikipedia,53951,Diarrhea,540,2022-09-07
United Kingdom,GB,en.wikipedia,242702,Monkeypox,452,2022-09-08
United Kingdom,GB,en.wikipedia,37636,Encephalitis,461,2022-09-10
United Kingdom,GB,en.wikipedia,37636,Encephalitis,1395,2022-09-11
United Kingdom,GB,en.wikipedia,53951,Diarrhea,513,2022-09-18
United Kingdom,GB,en.wikipedia,53951,Diarrhea,502,2022-09-27
United Kingdom,GB,en.wikipedia,53951,Diarrhea,668,2022-09-29
United Kingdom,GB,en.wikipedia,53951,Diarrhea,497,2022-10-03
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,455,2022-10-26
United Kingdom,GB,en.wikipedia,452461,Myocarditis,454,2022-10-28
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,842,2022-11-09
United Kingdom,GB,en.wikipedia,452461,Myocarditis,523,2022-11-16
United Kingdom,GB,en.wikipedia,452461,Myocarditis,453,2022-11-19
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,473,2022-11-21
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,471,2022-11-22
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,459,2022-11-23
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,532,2022-11-24
United Kingdom,GB,en.wikipedia,452461,Myocarditis,490,2022-11-25
United Kingdom,GB,en.wikipedia,452461,Myocarditis,511,2022-11-26
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,576,2022-11-27
United Kingdom,GB,en.wikipedia,242702,Monkeypox,1651,2022-11-28
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,629,2022-11-28
United Kingdom,GB,en.wikipedia,242702,Monkeypox,553,2022-11-29
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,586,2022-11-29
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,581,2022-11-30
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,538,2022-12-01
United Kingdom,GB,en.wikipedia,452461,Myocarditis,829,2022-12-03
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,455,2022-12-03
United Kingdom,GB,en.wikipedia,452461,Myocarditis,476,2022-12-04
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,454,2022-12-04
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,542,2022-12-05
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,576,2022-12-06
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,481,2022-12-08
United Kingdom,GB,en.wikipedia,452461,Myocarditis,579,2022-12-09
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,622,2022-12-10
United Kingdom,GB,en.wikipedia,452461,Myocarditis,492,2022-12-11
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,681,2022-12-11
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,691,2022-12-12
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,672,2022-12-13
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,467,2022-12-14
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,490,2022-12-15
United Kingdom,GB,en.wikipedia,452461,Myocarditis,487,2022-12-17
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,602,2022-12-17
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,611,2022-12-18
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,678,2022-12-19
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,565,2022-12-20
United Kingdom,GB,en.wikipedia,452461,Myocarditis,528,2022-12-21
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,730,2022-12-21
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,582,2022-12-22
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,565,2022-12-23
United Kingdom,GB,en.wikipedia,452461,Myocarditis,604,2022-12-24
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,594,2022-12-24
United Kingdom,GB,en.wikipedia,452461,Myocarditis,1431,2022-12-25
United Kingdom,GB,en.wikipedia,452461,Myocarditis,662,2022-12-26
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,575,2022-12-26
United Kingdom,GB,en.wikipedia,452461,Myocarditis,489,2022-12-27
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,680,2022-12-27
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,638,2022-12-28
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,694,2022-12-29
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,554,2022-12-30
United Kingdom,GB,en.wikipedia,452461,Myocarditis,528,2022-12-31
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,533,2022-12-31
United Kingdom,GB,en.wikipedia,37636,Encephalitis,455,2023-01-01
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,649,2023-01-01
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,825,2023-01-02
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,726,2023-01-03
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,705,2023-01-04
United Kingdom,GB,en.wikipedia,452461,Myocarditis,554,2023-01-05
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,748,2023-01-05
United Kingdom,GB,en.wikipedia,452461,Myocarditis,499,2023-01-06
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,590,2023-01-06
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,555,2023-01-07
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,605,2023-01-08
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,824,2023-01-09
United Kingdom,GB,en.wikipedia,452461,Myocarditis,512,2023-01-10
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,616,2023-01-10
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,529,2023-01-11
United Kingdom,GB,en.wikipedia,452461,Myocarditis,455,2023-01-12
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,506,2023-01-12
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,494,2023-01-15
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,484,2023-01-16
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,454,2023-01-17
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,454,2023-01-18
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,525,2023-01-23
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,465,2023-01-24
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,463,2023-01-25
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,547,2023-01-26
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,597,2023-01-27
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,548,2023-01-29
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,643,2023-01-30
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,592,2023-01-31
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,543,2023-02-01
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,613,2023-02-02
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,602,2023-02-03
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,606,2023-02-05
