country_long,iso2,project,page_id,page_title,pageviews,date
United States of America,US,en.wikipedia,18821046,Chickenpox,938,2022-01-02
United States of America,US,en.wikipedia,562958,Signs and symptoms,518,2022-01-02
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,637,2022-01-02
United States of America,US,en.wikipedia,16829895,Smallpox,3794,2022-01-02
United States of America,US,en.wikipedia,37220,Infection,601,2022-01-02
United States of America,US,en.wikipedia,33583,World Health Organization,1142,2022-01-02
United States of America,US,en.wikipedia,158400,Sepsis,2533,2022-01-02
United States of America,US,en.wikipedia,61088,Smallpox vaccine,1387,2022-01-03
United States of America,US,en.wikipedia,28848,Scabies,568,2022-01-03
United States of America,US,en.wikipedia,44410,Conjunctivitis,507,2022-01-03
United States of America,US,en.wikipedia,6064646,Index case,2596,2022-01-03
United States of America,US,en.wikipedia,310094,Sore throat,852,2022-01-03
United States of America,US,en.wikipedia,46253,Fever,594,2022-01-03
United States of America,US,en.wikipedia,37636,Encephalitis,521,2022-01-03
United States of America,US,en.wikipedia,53951,Diarrhea,621,2022-01-03
United States of America,US,en.wikipedia,452461,Myocarditis,2551,2022-01-03
United States of America,US,en.wikipedia,602790,Asymptomatic,2563,2022-01-03
United States of America,US,en.wikipedia,87175,Herd immunity,655,2022-01-03
United States of America,US,en.wikipedia,19167679,Virus,1532,2022-01-03
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),722,2022-01-03
United States of America,US,en.wikipedia,18821046,Chickenpox,972,2022-01-03
United States of America,US,en.wikipedia,562958,Signs and symptoms,480,2022-01-03
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,757,2022-01-03
United States of America,US,en.wikipedia,16829895,Smallpox,6554,2022-01-03
United States of America,US,en.wikipedia,37220,Infection,594,2022-01-03
United States of America,US,en.wikipedia,33583,World Health Organization,863,2022-01-03
United States of America,US,en.wikipedia,242702,Monkeypox,1639,2022-01-03
United States of America,US,en.wikipedia,158400,Sepsis,2375,2022-01-03
United States of America,US,en.wikipedia,34049,Wart,722,2022-01-03
United States of America,US,en.wikipedia,61088,Smallpox vaccine,1211,2022-01-04
United States of America,US,en.wikipedia,771986,Skin condition,505,2022-01-04
United States of America,US,en.wikipedia,28848,Scabies,714,2022-01-04
United States of America,US,en.wikipedia,44410,Conjunctivitis,611,2022-01-04
United States of America,US,en.wikipedia,6064646,Index case,1107,2022-01-04
United States of America,US,en.wikipedia,310094,Sore throat,1007,2022-01-04
United States of America,US,en.wikipedia,46253,Fever,603,2022-01-04
United States of America,US,en.wikipedia,37636,Encephalitis,681,2022-01-04
United States of America,US,en.wikipedia,53951,Diarrhea,528,2022-01-04
United States of America,US,en.wikipedia,452461,Myocarditis,2504,2022-01-04
United States of America,US,en.wikipedia,602790,Asymptomatic,1950,2022-01-04
United States of America,US,en.wikipedia,87175,Herd immunity,892,2022-01-04
United States of America,US,en.wikipedia,19167679,Virus,1577,2022-01-04
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),789,2022-01-04
United States of America,US,en.wikipedia,18821046,Chickenpox,900,2022-01-04
United States of America,US,en.wikipedia,562958,Signs and symptoms,519,2022-01-04
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,833,2022-01-04
United States of America,US,en.wikipedia,16829895,Smallpox,3561,2022-01-04
United States of America,US,en.wikipedia,37220,Infection,673,2022-01-04
United States of America,US,en.wikipedia,33583,World Health Organization,1002,2022-01-04
United States of America,US,en.wikipedia,242702,Monkeypox,968,2022-01-04
United States of America,US,en.wikipedia,158400,Sepsis,3122,2022-01-04
United States of America,US,en.wikipedia,61088,Smallpox vaccine,1152,2022-01-05
United States of America,US,en.wikipedia,771986,Skin condition,456,2022-01-05
United States of America,US,en.wikipedia,28848,Scabies,664,2022-01-05
United States of America,US,en.wikipedia,44410,Conjunctivitis,523,2022-01-05
United States of America,US,en.wikipedia,6064646,Index case,1186,2022-01-05
United States of America,US,en.wikipedia,310094,Sore throat,994,2022-01-05
United States of America,US,en.wikipedia,46253,Fever,655,2022-01-05
United States of America,US,en.wikipedia,19383782,Kaposi's sarcoma,451,2022-01-05
United States of America,US,en.wikipedia,37636,Encephalitis,663,2022-01-05
United States of America,US,en.wikipedia,53951,Diarrhea,657,2022-01-05
United States of America,US,en.wikipedia,452461,Myocarditis,2793,2022-01-05
United States of America,US,en.wikipedia,602790,Asymptomatic,1738,2022-01-05
United States of America,US,en.wikipedia,87175,Herd immunity,826,2022-01-05
United States of America,US,en.wikipedia,19167679,Virus,1789,2022-01-05
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),556,2022-01-05
United States of America,US,en.wikipedia,18821046,Chickenpox,956,2022-01-05
United States of America,US,en.wikipedia,562958,Signs and symptoms,455,2022-01-05
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,820,2022-01-05
United States of America,US,en.wikipedia,16829895,Smallpox,3222,2022-01-05
United States of America,US,en.wikipedia,37220,Infection,693,2022-01-05
United States of America,US,en.wikipedia,33583,World Health Organization,1175,2022-01-05
United States of America,US,en.wikipedia,158400,Sepsis,2936,2022-01-05
United States of America,US,en.wikipedia,61088,Smallpox vaccine,1146,2022-01-06
United States of America,US,en.wikipedia,771986,Skin condition,480,2022-01-06
United States of America,US,en.wikipedia,28848,Scabies,680,2022-01-06
United States of America,US,en.wikipedia,44410,Conjunctivitis,493,2022-01-06
United States of America,US,en.wikipedia,6064646,Index case,786,2022-01-06
United States of America,US,en.wikipedia,310094,Sore throat,916,2022-01-06
United States of America,US,en.wikipedia,46253,Fever,652,2022-01-06
United States of America,US,en.wikipedia,172323,Rubella,741,2022-01-06
United States of America,US,en.wikipedia,37636,Encephalitis,507,2022-01-06
United States of America,US,en.wikipedia,53951,Diarrhea,567,2022-01-06
United States of America,US,en.wikipedia,452461,Myocarditis,2605,2022-01-06
United States of America,US,en.wikipedia,602790,Asymptomatic,1695,2022-01-06
United States of America,US,en.wikipedia,87175,Herd immunity,841,2022-01-06
United States of America,US,en.wikipedia,19167679,Virus,1891,2022-01-06
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),626,2022-01-06
United States of America,US,en.wikipedia,18821046,Chickenpox,873,2022-01-06
United States of America,US,en.wikipedia,562958,Signs and symptoms,593,2022-01-06
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,712,2022-01-06
United States of America,US,en.wikipedia,16829895,Smallpox,3060,2022-01-06
United States of America,US,en.wikipedia,37220,Infection,662,2022-01-06
United States of America,US,en.wikipedia,33583,World Health Organization,964,2022-01-06
United States of America,US,en.wikipedia,158400,Sepsis,2524,2022-01-06
United States of America,US,en.wikipedia,61088,Smallpox vaccine,1253,2022-01-07
United States of America,US,en.wikipedia,28848,Scabies,699,2022-01-07
United States of America,US,en.wikipedia,6064646,Index case,863,2022-01-07
United States of America,US,en.wikipedia,310094,Sore throat,883,2022-01-07
United States of America,US,en.wikipedia,46253,Fever,611,2022-01-07
United States of America,US,en.wikipedia,37636,Encephalitis,517,2022-01-07
United States of America,US,en.wikipedia,53951,Diarrhea,507,2022-01-07
United States of America,US,en.wikipedia,452461,Myocarditis,2795,2022-01-07
United States of America,US,en.wikipedia,602790,Asymptomatic,1451,2022-01-07
United States of America,US,en.wikipedia,87175,Herd immunity,816,2022-01-07
United States of America,US,en.wikipedia,19167679,Virus,1771,2022-01-07
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),869,2022-01-07
United States of America,US,en.wikipedia,18821046,Chickenpox,967,2022-01-07
United States of America,US,en.wikipedia,562958,Signs and symptoms,494,2022-01-07
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,998,2022-01-07
United States of America,US,en.wikipedia,16829895,Smallpox,3242,2022-01-07
United States of America,US,en.wikipedia,37220,Infection,607,2022-01-07
United States of America,US,en.wikipedia,33583,World Health Organization,1156,2022-01-07
United States of America,US,en.wikipedia,158400,Sepsis,2361,2022-01-07
United States of America,US,en.wikipedia,61088,Smallpox vaccine,1173,2022-01-08
United States of America,US,en.wikipedia,28848,Scabies,588,2022-01-08
United States of America,US,en.wikipedia,44410,Conjunctivitis,520,2022-01-08
United States of America,US,en.wikipedia,6064646,Index case,915,2022-01-08
United States of America,US,en.wikipedia,310094,Sore throat,781,2022-01-08
United States of America,US,en.wikipedia,46253,Fever,567,2022-01-08
United States of America,US,en.wikipedia,37636,Encephalitis,563,2022-01-08
United States of America,US,en.wikipedia,53951,Diarrhea,593,2022-01-08
United States of America,US,en.wikipedia,452461,Myocarditis,2300,2022-01-08
United States of America,US,en.wikipedia,602790,Asymptomatic,1384,2022-01-08
United States of America,US,en.wikipedia,87175,Herd immunity,692,2022-01-08
United States of America,US,en.wikipedia,19167679,Virus,1451,2022-01-08
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),681,2022-01-08
United States of America,US,en.wikipedia,18821046,Chickenpox,906,2022-01-08
United States of America,US,en.wikipedia,562958,Signs and symptoms,454,2022-01-08
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,597,2022-01-08
United States of America,US,en.wikipedia,16829895,Smallpox,2834,2022-01-08
United States of America,US,en.wikipedia,37220,Infection,620,2022-01-08
United States of America,US,en.wikipedia,33583,World Health Organization,820,2022-01-08
United States of America,US,en.wikipedia,158400,Sepsis,2472,2022-01-08
United States of America,US,en.wikipedia,443800,Shingles,1508,2022-01-08
United States of America,US,en.wikipedia,61088,Smallpox vaccine,992,2022-01-09
United States of America,US,en.wikipedia,28848,Scabies,606,2022-01-09
United States of America,US,en.wikipedia,6064646,Index case,1003,2022-01-09
United States of America,US,en.wikipedia,310094,Sore throat,722,2022-01-09
United States of America,US,en.wikipedia,46253,Fever,583,2022-01-09
United States of America,US,en.wikipedia,37636,Encephalitis,662,2022-01-09
United States of America,US,en.wikipedia,53951,Diarrhea,549,2022-01-09
United States of America,US,en.wikipedia,452461,Myocarditis,2497,2022-01-09
United States of America,US,en.wikipedia,602790,Asymptomatic,1474,2022-01-09
United States of America,US,en.wikipedia,87175,Herd immunity,618,2022-01-09
United States of America,US,en.wikipedia,19167679,Virus,1448,2022-01-09
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),1043,2022-01-09
United States of America,US,en.wikipedia,18821046,Chickenpox,877,2022-01-09
United States of America,US,en.wikipedia,562958,Signs and symptoms,515,2022-01-09
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,727,2022-01-09
United States of America,US,en.wikipedia,16829895,Smallpox,2862,2022-01-09
United States of America,US,en.wikipedia,37220,Infection,644,2022-01-09
United States of America,US,en.wikipedia,33583,World Health Organization,1634,2022-01-09
United States of America,US,en.wikipedia,158400,Sepsis,2483,2022-01-09
United States of America,US,en.wikipedia,443800,Shingles,1500,2022-01-09
United States of America,US,en.wikipedia,61088,Smallpox vaccine,942,2022-01-10
United States of America,US,en.wikipedia,28848,Scabies,815,2022-01-10
United States of America,US,en.wikipedia,6064646,Index case,779,2022-01-10
United States of America,US,en.wikipedia,310094,Sore throat,696,2022-01-10
United States of America,US,en.wikipedia,46253,Fever,566,2022-01-10
United States of America,US,en.wikipedia,37636,Encephalitis,557,2022-01-10
United States of America,US,en.wikipedia,53951,Diarrhea,723,2022-01-10
United States of America,US,en.wikipedia,452461,Myocarditis,2654,2022-01-10
United States of America,US,en.wikipedia,602790,Asymptomatic,1735,2022-01-10
United States of America,US,en.wikipedia,87175,Herd immunity,538,2022-01-10
United States of America,US,en.wikipedia,19167679,Virus,1732,2022-01-10
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),1009,2022-01-10
United States of America,US,en.wikipedia,18821046,Chickenpox,858,2022-01-10
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,787,2022-01-10
United States of America,US,en.wikipedia,16829895,Smallpox,2818,2022-01-10
United States of America,US,en.wikipedia,37220,Infection,741,2022-01-10
United States of America,US,en.wikipedia,33583,World Health Organization,969,2022-01-10
United States of America,US,en.wikipedia,158400,Sepsis,2399,2022-01-10
United States of America,US,en.wikipedia,61088,Smallpox vaccine,924,2022-01-11
United States of America,US,en.wikipedia,28848,Scabies,613,2022-01-11
United States of America,US,en.wikipedia,44410,Conjunctivitis,554,2022-01-11
United States of America,US,en.wikipedia,6064646,Index case,706,2022-01-11
United States of America,US,en.wikipedia,310094,Sore throat,698,2022-01-11
United States of America,US,en.wikipedia,46253,Fever,584,2022-01-11
United States of America,US,en.wikipedia,37636,Encephalitis,583,2022-01-11
United States of America,US,en.wikipedia,53951,Diarrhea,646,2022-01-11
United States of America,US,en.wikipedia,452461,Myocarditis,2742,2022-01-11
United States of America,US,en.wikipedia,602790,Asymptomatic,1731,2022-01-11
United States of America,US,en.wikipedia,87175,Herd immunity,650,2022-01-11
United States of America,US,en.wikipedia,19167679,Virus,1730,2022-01-11
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),1095,2022-01-11
United States of America,US,en.wikipedia,18821046,Chickenpox,1081,2022-01-11
United States of America,US,en.wikipedia,562958,Signs and symptoms,504,2022-01-11
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,806,2022-01-11
United States of America,US,en.wikipedia,16829895,Smallpox,2623,2022-01-11
United States of America,US,en.wikipedia,37220,Infection,707,2022-01-11
United States of America,US,en.wikipedia,33583,World Health Organization,954,2022-01-11
United States of America,US,en.wikipedia,158400,Sepsis,2253,2022-01-11
United States of America,US,en.wikipedia,6682,Clade,457,2022-01-12
United States of America,US,en.wikipedia,61088,Smallpox vaccine,1126,2022-01-12
United States of America,US,en.wikipedia,771986,Skin condition,475,2022-01-12
United States of America,US,en.wikipedia,28848,Scabies,670,2022-01-12
United States of America,US,en.wikipedia,1010729,Lymphadenopathy,459,2022-01-12
United States of America,US,en.wikipedia,44410,Conjunctivitis,536,2022-01-12
United States of America,US,en.wikipedia,6064646,Index case,722,2022-01-12
United States of America,US,en.wikipedia,310094,Sore throat,719,2022-01-12
United States of America,US,en.wikipedia,46253,Fever,581,2022-01-12
United States of America,US,en.wikipedia,37636,Encephalitis,592,2022-01-12
United States of America,US,en.wikipedia,53951,Diarrhea,624,2022-01-12
United States of America,US,en.wikipedia,452461,Myocarditis,2586,2022-01-12
United States of America,US,en.wikipedia,602790,Asymptomatic,1837,2022-01-12
United States of America,US,en.wikipedia,87175,Herd immunity,668,2022-01-12
United States of America,US,en.wikipedia,19167679,Virus,2030,2022-01-12
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),1309,2022-01-12
United States of America,US,en.wikipedia,18821046,Chickenpox,973,2022-01-12
United States of America,US,en.wikipedia,562958,Signs and symptoms,543,2022-01-12
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,866,2022-01-12
United States of America,US,en.wikipedia,16829895,Smallpox,2737,2022-01-12
United States of America,US,en.wikipedia,37220,Infection,668,2022-01-12
United States of America,US,en.wikipedia,33583,World Health Organization,1203,2022-01-12
United States of America,US,en.wikipedia,158400,Sepsis,2456,2022-01-12
United States of America,US,en.wikipedia,6682,Clade,462,2022-01-13
United States of America,US,en.wikipedia,61088,Smallpox vaccine,1235,2022-01-13
United States of America,US,en.wikipedia,771986,Skin condition,462,2022-01-13
United States of America,US,en.wikipedia,28848,Scabies,845,2022-01-13
United States of America,US,en.wikipedia,44410,Conjunctivitis,485,2022-01-13
United States of America,US,en.wikipedia,6064646,Index case,730,2022-01-13
United States of America,US,en.wikipedia,310094,Sore throat,926,2022-01-13
United States of America,US,en.wikipedia,46253,Fever,501,2022-01-13
United States of America,US,en.wikipedia,19383782,Kaposi's sarcoma,552,2022-01-13
United States of America,US,en.wikipedia,172323,Rubella,458,2022-01-13
United States of America,US,en.wikipedia,37636,Encephalitis,614,2022-01-13
United States of America,US,en.wikipedia,53951,Diarrhea,642,2022-01-13
United States of America,US,en.wikipedia,452461,Myocarditis,2600,2022-01-13
United States of America,US,en.wikipedia,602790,Asymptomatic,1493,2022-01-13
United States of America,US,en.wikipedia,87175,Herd immunity,668,2022-01-13
United States of America,US,en.wikipedia,19167679,Virus,1892,2022-01-13
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),1471,2022-01-13
United States of America,US,en.wikipedia,18821046,Chickenpox,910,2022-01-13
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,1135,2022-01-13
United States of America,US,en.wikipedia,16829895,Smallpox,2878,2022-01-13
United States of America,US,en.wikipedia,37220,Infection,678,2022-01-13
United States of America,US,en.wikipedia,33583,World Health Organization,1530,2022-01-13
United States of America,US,en.wikipedia,158400,Sepsis,2141,2022-01-13
United States of America,US,en.wikipedia,61088,Smallpox vaccine,1303,2022-01-14
United States of America,US,en.wikipedia,771986,Skin condition,523,2022-01-14
United States of America,US,en.wikipedia,28848,Scabies,990,2022-01-14
United States of America,US,en.wikipedia,6064646,Index case,729,2022-01-14
United States of America,US,en.wikipedia,310094,Sore throat,686,2022-01-14
United States of America,US,en.wikipedia,46253,Fever,543,2022-01-14
United States of America,US,en.wikipedia,19383782,Kaposi's sarcoma,509,2022-01-14
United States of America,US,en.wikipedia,37636,Encephalitis,599,2022-01-14
United States of America,US,en.wikipedia,53951,Diarrhea,590,2022-01-14
United States of America,US,en.wikipedia,452461,Myocarditis,5449,2022-01-14
United States of America,US,en.wikipedia,602790,Asymptomatic,1222,2022-01-14
United States of America,US,en.wikipedia,87175,Herd immunity,619,2022-01-14
United States of America,US,en.wikipedia,19167679,Virus,1698,2022-01-14
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),915,2022-01-14
United States of America,US,en.wikipedia,18821046,Chickenpox,856,2022-01-14
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,880,2022-01-14
United States of America,US,en.wikipedia,16829895,Smallpox,2651,2022-01-14
United States of America,US,en.wikipedia,37220,Infection,693,2022-01-14
United States of America,US,en.wikipedia,33583,World Health Organization,1096,2022-01-14
United States of America,US,en.wikipedia,158400,Sepsis,2144,2022-01-14
United States of America,US,en.wikipedia,4235754,Herpesviridae,952,2022-01-14
United States of America,US,en.wikipedia,61088,Smallpox vaccine,1084,2022-01-15
United States of America,US,en.wikipedia,28848,Scabies,866,2022-01-15
United States of America,US,en.wikipedia,6064646,Index case,934,2022-01-15
United States of America,US,en.wikipedia,310094,Sore throat,661,2022-01-15
United States of America,US,en.wikipedia,37636,Encephalitis,605,2022-01-15
United States of America,US,en.wikipedia,53951,Diarrhea,467,2022-01-15
United States of America,US,en.wikipedia,452461,Myocarditis,5105,2022-01-15
United States of America,US,en.wikipedia,602790,Asymptomatic,970,2022-01-15
United States of America,US,en.wikipedia,87175,Herd immunity,494,2022-01-15
United States of America,US,en.wikipedia,19167679,Virus,1281,2022-01-15
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),881,2022-01-15
United States of America,US,en.wikipedia,18821046,Chickenpox,956,2022-01-15
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,854,2022-01-15
United States of America,US,en.wikipedia,16829895,Smallpox,2679,2022-01-15
United States of America,US,en.wikipedia,37220,Infection,590,2022-01-15
United States of America,US,en.wikipedia,33583,World Health Organization,809,2022-01-15
United States of America,US,en.wikipedia,158400,Sepsis,2154,2022-01-15
United States of America,US,en.wikipedia,443800,Shingles,1608,2022-01-15
United States of America,US,en.wikipedia,61088,Smallpox vaccine,1018,2022-01-16
United States of America,US,en.wikipedia,28848,Scabies,1004,2022-01-16
United States of America,US,en.wikipedia,6064646,Index case,985,2022-01-16
United States of America,US,en.wikipedia,310094,Sore throat,618,2022-01-16
United States of America,US,en.wikipedia,46253,Fever,512,2022-01-16
United States of America,US,en.wikipedia,37636,Encephalitis,752,2022-01-16
United States of America,US,en.wikipedia,53951,Diarrhea,1262,2022-01-16
United States of America,US,en.wikipedia,452461,Myocarditis,3691,2022-01-16
United States of America,US,en.wikipedia,602790,Asymptomatic,818,2022-01-16
United States of America,US,en.wikipedia,87175,Herd immunity,468,2022-01-16
United States of America,US,en.wikipedia,19167679,Virus,1129,2022-01-16
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),959,2022-01-16
United States of America,US,en.wikipedia,18821046,Chickenpox,813,2022-01-16
United States of America,US,en.wikipedia,562958,Signs and symptoms,494,2022-01-16
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,698,2022-01-16
United States of America,US,en.wikipedia,16829895,Smallpox,2344,2022-01-16
United States of America,US,en.wikipedia,37220,Infection,534,2022-01-16
United States of America,US,en.wikipedia,33583,World Health Organization,1055,2022-01-16
United States of America,US,en.wikipedia,158400,Sepsis,2259,2022-01-16
United States of America,US,en.wikipedia,61088,Smallpox vaccine,848,2022-01-17
United States of America,US,en.wikipedia,771986,Skin condition,470,2022-01-17
United States of America,US,en.wikipedia,28848,Scabies,1635,2022-01-17
United States of America,US,en.wikipedia,6064646,Index case,814,2022-01-17
United States of America,US,en.wikipedia,310094,Sore throat,553,2022-01-17
United States of America,US,en.wikipedia,19383782,Kaposi's sarcoma,475,2022-01-17
United States of America,US,en.wikipedia,37636,Encephalitis,609,2022-01-17
United States of America,US,en.wikipedia,53951,Diarrhea,1280,2022-01-17
United States of America,US,en.wikipedia,452461,Myocarditis,3284,2022-01-17
United States of America,US,en.wikipedia,602790,Asymptomatic,850,2022-01-17
United States of America,US,en.wikipedia,19167679,Virus,1214,2022-01-17
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),879,2022-01-17
United States of America,US,en.wikipedia,18821046,Chickenpox,753,2022-01-17
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,870,2022-01-17
United States of America,US,en.wikipedia,16829895,Smallpox,2575,2022-01-17
United States of America,US,en.wikipedia,37220,Infection,586,2022-01-17
United States of America,US,en.wikipedia,33583,World Health Organization,1037,2022-01-17
United States of America,US,en.wikipedia,158400,Sepsis,2262,2022-01-17
United States of America,US,en.wikipedia,61088,Smallpox vaccine,924,2022-01-18
United States of America,US,en.wikipedia,28848,Scabies,1438,2022-01-18
United States of America,US,en.wikipedia,6064646,Index case,508,2022-01-18
United States of America,US,en.wikipedia,310094,Sore throat,716,2022-01-18
United States of America,US,en.wikipedia,46253,Fever,552,2022-01-18
United States of America,US,en.wikipedia,19383782,Kaposi's sarcoma,542,2022-01-18
United States of America,US,en.wikipedia,37636,Encephalitis,628,2022-01-18
United States of America,US,en.wikipedia,53951,Diarrhea,623,2022-01-18
United States of America,US,en.wikipedia,452461,Myocarditis,3167,2022-01-18
United States of America,US,en.wikipedia,602790,Asymptomatic,1043,2022-01-18
United States of America,US,en.wikipedia,87175,Herd immunity,480,2022-01-18
United States of America,US,en.wikipedia,19167679,Virus,1538,2022-01-18
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),1417,2022-01-18
United States of America,US,en.wikipedia,18821046,Chickenpox,780,2022-01-18
United States of America,US,en.wikipedia,562958,Signs and symptoms,466,2022-01-18
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,843,2022-01-18
United States of America,US,en.wikipedia,16829895,Smallpox,2725,2022-01-18
United States of America,US,en.wikipedia,37220,Infection,618,2022-01-18
United States of America,US,en.wikipedia,33583,World Health Organization,1183,2022-01-18
United States of America,US,en.wikipedia,158400,Sepsis,2395,2022-01-18
United States of America,US,en.wikipedia,61088,Smallpox vaccine,867,2022-01-19
United States of America,US,en.wikipedia,28848,Scabies,1015,2022-01-19
United States of America,US,en.wikipedia,44410,Conjunctivitis,451,2022-01-19
United States of America,US,en.wikipedia,6064646,Index case,624,2022-01-19
United States of America,US,en.wikipedia,310094,Sore throat,619,2022-01-19
United States of America,US,en.wikipedia,46253,Fever,508,2022-01-19
United States of America,US,en.wikipedia,19383782,Kaposi's sarcoma,568,2022-01-19
United States of America,US,en.wikipedia,37636,Encephalitis,519,2022-01-19
United States of America,US,en.wikipedia,53951,Diarrhea,606,2022-01-19
United States of America,US,en.wikipedia,452461,Myocarditis,2950,2022-01-19
United States of America,US,en.wikipedia,602790,Asymptomatic,1084,2022-01-19
United States of America,US,en.wikipedia,19167679,Virus,1403,2022-01-19
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),1355,2022-01-19
United States of America,US,en.wikipedia,18821046,Chickenpox,823,2022-01-19
United States of America,US,en.wikipedia,562958,Signs and symptoms,629,2022-01-19
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,818,2022-01-19
United States of America,US,en.wikipedia,16829895,Smallpox,2453,2022-01-19
United States of America,US,en.wikipedia,37220,Infection,720,2022-01-19
United States of America,US,en.wikipedia,33583,World Health Organization,934,2022-01-19
United States of America,US,en.wikipedia,158400,Sepsis,2099,2022-01-19
United States of America,US,en.wikipedia,443800,Shingles,1487,2022-01-19
United States of America,US,en.wikipedia,61088,Smallpox vaccine,838,2022-01-20
United States of America,US,en.wikipedia,28848,Scabies,918,2022-01-20
United States of America,US,en.wikipedia,44410,Conjunctivitis,484,2022-01-20
United States of America,US,en.wikipedia,6064646,Index case,679,2022-01-20
United States of America,US,en.wikipedia,310094,Sore throat,633,2022-01-20
United States of America,US,en.wikipedia,19383782,Kaposi's sarcoma,527,2022-01-20
United States of America,US,en.wikipedia,37636,Encephalitis,582,2022-01-20
United States of America,US,en.wikipedia,53951,Diarrhea,507,2022-01-20
United States of America,US,en.wikipedia,452461,Myocarditis,2676,2022-01-20
United States of America,US,en.wikipedia,602790,Asymptomatic,842,2022-01-20
United States of America,US,en.wikipedia,19167679,Virus,1593,2022-01-20
United States of America,US,en.wikipedia,937967,Endemic (epidemiology),1145,2022-01-20
United States of America,US,en.wikipedia,18821046,Chickenpox,718,2022-01-20
United States of America,US,en.wikipedia,562958,Signs and symptoms,566,2022-01-20
United States of America,US,en.wikipedia,4774419,Herpes simplex virus,716,2022-01-20
United States of America,US,en.wikipedia,16829895,Smallpox,2361,2022-01-20
